feature,importance,rank
cat__model_750li,0.0007413202,398
cat__transmission_manual,0.00074106775,399
cat__model_aspen,0.00074008387,400
cat__model_santafe,0.0007400786,401
cat__manufacturer_mini,0.0007397955,402
cat__model_tiguan,0.0007379404,403
cat__manufacturer_jaguar,0.0007359009,404
cat__model_i8,0.00073434925,405
num__log_odometer,0.0007338862,406
cat__model_mkz,0.0007327926,407
cat__model_rx400h,0.0007322236,408
cat__model_golf,0.0007302717,409
cat__model_es300,0.00072846754,410
cat__model_Colorado,0.00072768505,411
cat__model_romeo,0.00072558486,412
cat__model_cl,0.0007234684,413
cat__model_lt9513,0.00072308554,414
cat__model_crossfire,0.00072181824,415
cat__model_vmi,0.0007216032,416
cat__model_frame,0.0007200257,417
cat__model_bus,0.0007192848,418
cat__model_xts,0.0007177372,419
cat__model_Savana,0.00071747584,420
cat__model_m37,0.0007142407,421
cat__model_ben bens bentz benz bends bennz,0.0007134199,422
cat__model_C5500,0.0007118943,423
cat__model_540i,0.00071055145,424
cat__model_s6,0.0007103146,425
cat__model_miata,0.0007018652,426
cat__model_q3,0.00070087827,427
cat__model_cabrio,0.0006990276,428
cat__manufacturer_nissan,0.00069695513,429
cat__model_allroad,0.00069382694,430
cat__model_P3500,0.00069334713,431
cat__model_e150,0.00069302245,432
cat__model_640i,0.00069212815,433
cat__model_Riviera,0.00069067214,434
cat__model_kicks,0.00068794715,435
cat__model_C10,0.0006870031,436
cat__model_le,0.000686957,437
cat__manufacturer_dodge,0.00068618706,438
cat__model_cheyenne,0.00068349007,439
cat__model_e320,0.0006828165,440
cat__model_Astro,0.0006820829,441
cat__model_a5,0.00068017334,442
cat__model_sterling,0.0006788015,443
cat__model_five,0.000677774,444
cat__model_ct6,0.0006767285,445
cat__model_cts,0.0006723489,446
cat__model_e300,0.0006720257,447
cat__model_wagoneer,0.000671305,448
cat__model_paseo,0.0006709514,449
cat__type_van,0.0006703931,450
cat__model_neon,0.00066456303,451
cat__model_325i,0.00066088914,452
cat__model_c230,0.0006587631,453
cat__model_rs7,0.00065665075,454
cat__model_q50,0.00065616507,455
cat__model_cj,0.00065526104,456
cat__model_sl550,0.0006539274,457
cat__model_tc,0.0006527523,458
cat__model_a8l,0.0006487497,459
cat__title_status_rebuilt,0.0006381129,460
cat__model_palisade,0.0006379529,461
cat__model_rs5,0.00063718285,462
cat__model_eldorado,0.00063614344,463
cat__model_2500hd,0.00063265004,464
cat__model_juke,0.00062933343,465
cat__model_Park Avenue,0.00062844367,466
cat__model_echo,0.00062838855,467
cat__model_c300,0.0006255297,468
cat__model_c6,0.0006254774,469
cat__model_sc430,0.00062534853,470
cat__model_280zx,0.00062530575,471
cat__model_t100,0.00062279415,472
cat__model_is250,0.0006209496,473
cat__model_380sl,0.00061901845,474
cat__model_fleetwood,0.0006156555,475
cat__model_prowler,0.0006147224,476
cat__model_intrepid,0.00061340234,477
cat__model_C30,0.00060868333,478
cat__model_C7000,0.0006030515,479
cat__model_rlx,0.0006016129,480
cat__model_C3500,0.0006008941,481
cat__model_f700,0.00059735193,482
cat__model_sunfire,0.00059478654,483
cat__model_rio5,0.0005911767,484
cat__model_ramcharger,0.00059100095,485
cat__model_q7,0.00058776466,486
cat__model_550i,0.0005873404,487
cat__model_blackwood,0.0005817945,488
cat__model_LeSabre,0.00057715975,489
cat__model_s65,0.0005771592,490
cat__model_s63,0.00057311624,491
cat__model_328d,0.0005716599,492
cat__model_dts,0.00056441297,493
cat__model_c320,0.0005636795,494
cat__model_raptor,0.00056258123,495
cat__model_dakota,0.0005606307,496
cat__model_xjs,0.0005599703,497
cat__model_sl63,0.0005590501,498
cat__model_cummins,0.0005572257,499
cat__model_Envision,0.0005558936,500
cat__model_police,0.0005500845,501
cat__model_veloster,0.00054900214,502
cat__model_328ci,0.00054690917,503
cat__model_daytona,0.0005467965,504
cat__model_cj5,0.0005452866,505
cat__model_cube,0.0005397504,506
cat__manufacturer_audi,0.000538375,507
cat__model_G20,0.00053765316,508
cat__model_el,0.0005370442,509
cat__model_monte,0.0005341956,510
cat__model_W4500,0.00053362665,511
cat__model_sq5,0.0005279245,512
cat__model_fj40,0.00052673166,513
cat__model_lj,0.00052490114,514
cat__model_f800,0.00052422396,515
cat__model_rs6,0.00052411354,516
cat__model_k900,0.0005212732,517
cat__model_town,0.00052083173,518
cat__model_620,0.0005144892,519
cat__model_cayman,0.00051290327,520
cat__model_comanche,0.0005119476,521
cat__manufacturer_ram,0.00051032973,522
cat__model_qx30,0.00050982734,523
cat__manufacturer_cadillac,0.0005052837,524
cat__model_flex,0.00050054264,525
cat__model_500sl,0.000494036,526
cat__condition_like new,0.00049390894,527
cat__model_borrego,0.0004934516,528
cat__model_sl500,0.000489883,529
cat__model_prelude,0.00048638065,530
cat__model_outback,0.0004789434,531
cat__model_rsx,0.00046982968,532
cat__model_mx5,0.0004698238,533
cat__model_325xi,0.00046346616,534
cat__model_quest,0.00045899278,535
cat__manufacturer_tesla,0.00045719967,536
cat__model_cooper,0.0004535171,537
cat__model_transit,0.00045327458,538
cat__model_cts-v,0.0004530242,539
cat__manufacturer_chrysler,0.0004490642,540
cat__model_ilx,0.00044403743,541
cat__model_crosstour,0.0004409968,542
cat__model_van,0.00043876478,543
cat__model_pickup,0.00043466178,544
cat__model_5 Series,0.00043453058,545
cat__type_mini-van,0.00043021527,546
cat__state_tx,0.0004244033,547
cat__model_z3,0.00042412808,548
cat__model_corsica,0.000423947,549
cat__manufacturer_infiniti,0.00042287898,550
cat__model_mks,0.0004212712,551
cat__model_forester,0.00041744063,552
cat__model_fifth,0.00041412088,553
cat__fuel_other,0.00040814801,554
cat__model_optima,0.00040589008,555
cat__model_ml320,0.0004058551,556
cat__model_minicab,0.0004054649,557
cat__manufacturer_mercury,0.00040252515,558
cat__state_md,0.0004017254,559
cat__model_cargo,0.00039627074,560
cat__manufacturer_hyundai,0.0003958313,561
cat__model_b2600,0.00039033356,562
cat__model_nv2500,0.00038945558,563
cat__model_integra,0.00038415196,564
cat__model_mountaineer,0.00037992024,565
cat__manufacturer_buick,0.00037918641,566
cat__model_aura,0.00037358433,567
cat__model_300d,0.0003728749,568
cat__model_rx350,0.00036971716,569
cat__condition_,0.0003688263,570
cat__transmission_automatic,0.0003667055,571
cat__model_cabriolet,0.0003623078,572
cat__state_ok,0.0003560205,573
cat__model_northstar,0.000340815,574
cat__model_macan,0.00034031607,575
cat__model_plymouth,0.00033921082,576
cat__model_outlook,0.00033873128,577
cat__model_e55,0.0003364507,578
cat__model_e250,0.00033639037,579
cat__model_xf,0.0003358882,580
cat__model_E36,0.00033229424,581
cat__model_explore,0.00032826883,582
cat__type_coupe,0.00032591552,583
cat__type_wagon,0.00031322992,584
cat__state_fl,0.00030991965,585
cat__model_ascent,0.00030833465,586
cat__model_passport,0.0003074972,587
cat__model_rdx,0.00030501996,588
cat__model_s60,0.00030173338,589
cat__model_roll,0.0003015984,590
cat__model_tj,0.0003010122,591
cat__model_ct,0.00029344033,592
cat__model_sportage,0.00029197332,593
cat__state_il,0.00028868025,594
cat__model_z4,0.00028406573,595
cat__model_voyager,0.0002779977,596
cat__model_is300,0.00027386803,597
cat__state_ma,0.0002686176,598
cat__model_pinto,0.00026837373,599
cat__state_wi,0.00026678832,600
cat__model_wg,0.00026621635,601
cat__state_nc,0.00026480385,602
cat__model_cadenza,0.0002592983,603
cat__state_sc,0.00024953912,604
cat__transmission_,0.00024744176,605
cat__manufacturer_datsun,0.00024462558,606
cat__type_bus,0.00023863747,607
cat__manufacturer_gmc,0.00023752879,608
cat__model_m813a1,0.00023711195,609
cat__model_z,0.0002337263,610
cat__state_me,0.00023081251,611
cat__condition_new,0.00022834586,612
cat__model_E39,0.00022643816,613
cat__model_clk,0.00022344277,614
cat__state_ga,0.0002203705,615
cat__model_td,0.00021966147,616
cat__model_evolution,0.00021702834,617
cat__state_ms,0.00021527239,618
cat__model_glk,0.0002141599,619
cat__model_capri,0.00021409504,620
cat__model_mazda6,0.00021247393,621
cat__state_wa,0.00021208836,622
cat__model_interstate,0.00021203783,623
cat__model_sc400,0.00021196246,624
cat__model_Vandura,0.0002096799,625
cat__model_celica,0.0002058833,626
cat__model_tlx,0.00020482553,627
cat__type_offroad,0.00020366274,628
cat__model_del sol,0.00020363343,629
cat__state_ca,0.00020301553,630
cat__state_ne,0.00019963738,631
cat__model_vue,0.00019824698,632
cat__state_vt,0.00019787675,633
cat__model_slk,0.0001971385,634
cat__model_taurus sho,0.00019275355,635
cat__model_ls430,0.00019272752,636
cat__model_528i,0.00019208914,637
cat__model_acty,0.0001910437,638
cat__model_elcamino,0.00018827083,639
cat__model_500e,0.00017921031,640
cat__state_ct,0.0001756225,641
cat__state_wy,0.00017196957,642
cat__model_range,0.0001697125,643
cat__model_K30,0.00016870389,644
cat__state_nv,0.00016865514,645
cat__state_ky,0.00016684254,646
cat__state_ia,0.00016411199,647
cat__model_Regal,0.00016218062,648
cat__model_yj,0.00016112378,649
cat__model_cc,0.00016061658,650
cat__state_oh,0.00015950923,651
cat__state_hi,0.0001592661,652
cat__state_mi,0.0001591366,653
cat__state_ks,0.00015838181,654
cat__model_lr3,0.00015797182,655
cat__model_crossstrek,0.00015582131,656
cat__state_ri,0.00015368774,657
cat__model_sorento,0.00015307294,658
cat__model_evoque,0.00015268153,659
cat__state_mn,0.00015121287,660
cat__model_M Series,0.00014686366,661
cat__model_cc7h042,0.00014646232,662
cat__state_co,0.00014597739,663
cat__state_or,0.00014553875,664
cat__model_ct200h,0.00014088507,665
cat__state_mo,0.00014033046,666
cat__model_g37,0.00013981496,667
cat__state_nm,0.00013794421,668
cat__model_124,0.00013731602,669
cat__state_ny,0.00013603305,670
cat__state_va,0.00013059891,671
cat__manufacturer_mazda,0.00012858106,672
cat__model_t4,0.0001265275,673
cat__model_pininfarina,0.00012648296,674
cat__model_W4,0.00012575484,675
cat__state_sd,0.0001248246,676
cat__state_nj,0.00012085343,677
cat__model_spider,0.00011932629,678
cat__model_laredo,0.00011797614,679
cat__model_qx50,0.00011789309,680
cat__state_tn,0.00011526015,681
cat__model_b,0.000115061484,682
cat__state_dc,0.00011465124,683
cat__state_al,0.00011386934,684
cat__model_750lxi,0.000113823604,685
cat__state_nh,0.0001132544,686
cat__state_id,0.000111332556,687
cat__model_i35,0.00011124975,688
cat__state_ak,0.000110996654,689
cat__state_la,0.00010969983,690
cat__model_K2500,0.00010658502,691
cat__state_az,0.00010044422,692
cat__model_marauder,9.9891826e-05,693
cat__model_s40,9.7650176e-05,694
cat__state_de,9.707743e-05,695
cat__model_campagnola,9.528393e-05,696
cat__state_wv,9.2644295e-05,697
cat__model_eclipse,9.2308175e-05,698
cat__state_mt,9.199437e-05,699
cat__state_in,9.088652e-05,700
cat__state_ut,8.7907625e-05,701
cat__state_pa,8.648525e-05,702
cat__model_Caprice,8.622031e-05,703
cat__model_g35x,8.38465e-05,704
cat__model_xj8,8.234805e-05,705
cat__model_250,8.091147e-05,706
cat__model_Reatta,8.022529e-05,707
cat__state_ar,7.688095e-05,708
cat__manufacturer_land rover,7.5408454e-05,709
cat__model_professional-chassis,7.414619e-05,710
cat__model_228i,7.260547e-05,711
cat__model_new,7.188515e-05,712
cat__model_gs,7.0695845e-05,713
cat__state_nd,6.94439e-05,714
cat__model_128,6.743732e-05,715
cat__model_325,6.0908344e-05,716
cat__model_slk350,6.07521e-05,717
cat__model_montero,6.042385e-05,718
cat__model_bertone,5.800069e-05,719
cat__model_s350,5.575367e-05,720
cat__model_boxter,5.5549506e-05,721
cat__model_Scottsdale,5.427642e-05,722
cat__model_v60,5.3365013e-05,723
cat__model_x1,4.4498058e-05,724
cat__model_e,4.326007e-05,725
cat__model_sl2,4.2992608e-05,726
cat__model_210,4.2616368e-05,727
cat__fuel_,3.893874e-05,728
cat__model_d250,3.842744e-05,729
cat__model_cougar,3.72186e-05,730
cat__model_300sd,3.6488815e-05,731
cat__model_l,3.3462064e-05,732
cat__model_c30,2.9350744e-05,733
cat__model_continental,2.8583116e-05,734
cat__model_diamante,2.718115e-05,735
cat__model_i30,2.5539422e-05,736
cat__model_pajero,2.2909144e-05,737
cat__model_ux,2.1287957e-05,738
