feature,importance,rank
cat__model_calvier,0,563
cat__model_camero,0,564
cat__model_capri,0,565
cat__model_cargo,0,566
cat__model_cargo van,0,567
cat__model_carrera,0,568
cat__model_catera,0,569
cat__model_cayenne,0,570
cat__model_cayman,0,571
cat__model_cb650,0,572
cat__model_cbr600rr,0,573
cat__model_cc,0,574
cat__model_cc4500,0,575
cat__model_celica,0,576
cat__model_celsior,0,577
cat__model_cf8000,0,578
cat__model_chassis,0,579
cat__model_cherooke,0,580
cat__model_cheyanne,0,581
cat__model_cheyenne,0,582
cat__model_cirrus,0,583
cat__model_city,0,584
cat__model_cj,0,585
cat__model_cj5,0,586
cat__model_cj7,0,587
cat__model_cj8,0,588
cat__model_cl,0,589
cat__model_cl500,0,590
cat__model_cl55,0,591
cat__model_cl600,0,592
cat__model_cl63,0,593
cat__model_cla250,0,594
cat__model_clarity,0,595
cat__model_classic,0,596
cat__model_clk,0,597
cat__model_clk350,0,598
cat__model_clk550,0,599
cat__model_cls,0,600
cat__model_cls550,0,601
cat__model_club wagon,0,602
cat__model_clubman,0,603
cat__model_coblat,0,604
cat__model_comanche,0,605
cat__model_commander,0,606
cat__model_commercial,0,607
cat__model_concorde,0,608
cat__model_conquest,0,609
cat__model_contour,0,610
cat__model_convertible,0,611
cat__model_corrado,0,612
cat__model_corsair,0,613
cat__model_cougar,0,614
cat__model_couger,0,615
cat__model_country,0,616
cat__model_countryman,0,617
cat__model_coupe,0,618
cat__model_cressida,0,619
cat__model_crew,0,620
cat__model_crossfire,0,621
cat__model_crosstour,0,622
cat__model_crown,0,623
cat__model_crusie,0,624
cat__model_cruz,0,625
cat__model_crx,0,626
cat__model_crz,0,627
cat__model_ct,0,628
cat__model_ct200h,0,629
cat__model_ct4,0,630
cat__model_ct5,0,631
cat__model_ct6,0,632
cat__model_cube,0,633
cat__model_cummins,0,634
cat__model_custom,0,635
cat__model_cv,0,636
cat__model_cx7,0,637
cat__model_cx9,0,638
cat__model_d100,0,639
cat__model_d150,0,640
cat__model_d21,0,641
cat__model_d250,0,642
cat__model_d30,0,643
cat__model_d350,0,644
cat__model_dakota,0,645
cat__model_davidson,0,646
cat__model_daytona,0,647
cat__model_defender,0,648
cat__model_dege,0,649
cat__model_deisel,0,650
cat__model_del sol,0,651
cat__model_delica,0,652
cat__model_dhs,0,653
cat__model_diamante,0,654
cat__model_diesel,0,655
cat__model_diesels,0,656
cat__model_diplomat,0,657
cat__model_dokota,0,658
cat__model_dts,0,659
cat__model_duelly,0,660
cat__model_dump,0,661
cat__model_e150,0,662
cat__model_e300,0,663
cat__model_e320,0,664
cat__model_frasier,0,665
cat__model_freelander,0,666
cat__model_freestar,0,667
cat__model_freestyle,0,668
cat__model_ftype,0,669
cat__model_fuso,0,670
cat__model_fx,0,671
cat__model_fx1,0,672
cat__model_fx35,0,673
cat__model_fx37,0,674
cat__model_fx50,0,675
cat__model_g25,0,676
cat__model_g25x,0,677
cat__model_g35,0,678
cat__model_g35s,0,679
cat__model_g35x,0,680
cat__model_g37,0,681
cat__model_g37s,0,682
cat__model_g37x,0,683
cat__model_g37xs,0,684
cat__model_g5,0,685
cat__model_g63,0,686
cat__model_g8,0,687
cat__model_galant,0,688
cat__model_girardin,0,689
cat__model_gl350,0,690
cat__model_gl450,0,691
cat__model_gl550,0,692
cat__model_flhtcu103,0,693
cat__model_gla250,0,694
cat__model_gle,0,695
cat__model_gli,0,696
cat__model_glk350,0,697
cat__model_gls,0,698
cat__model_gls550,0,699
cat__model_gmt,0,700
cat__model_goldwing,0,701
cat__model_gr,0,702
cat__model_gs300,0,703
cat__model_gs350,0,704
cat__model_gs430,0,705
cat__model_gt,0,706
